name,description,message
_14_디스코드 입장 시 안내멘트,(운영용) 디스코드 입장 시 고정멘트 입니다.,"원디클에 오신것을 환영합니다!
원활한 멘토링 활동을 위해 3가지 안내드려요.

1️⃣ 멘토님과 원활한 소통을 위해, “알림 설정 - 모든 메시지”로 설정해주세요. 알림 미확인으로 인해 멘토링에 차질이 발생하는 경우 책임지지 않습니다.
2️⃣ 디스코드 프로필을 이름 이니셜 + 번호 뒷자리로 맞춰주세요. (ex. 홍길동, 010-1234-5678 → HGD5678)
3️⃣ 멘토님께서 맞춤형으로 피드백 드릴 수 있도록, 구글 드라이브 링크를 생성해 현재 포트폴리오를 첨부하여 전달해주세요. (접근권한 확인 필수)

채널 입장 후, 24시간 이내 멘토님이 매칭될 예정입니다 🙂"
_15_빈슬롯,빈슬롯,
_16_빈슬롯,빈슬롯,
_17_빈슬롯,빈슬롯,
_18_빈슬롯,빈슬롯,
_19_빈슬롯,빈슬롯,
_20_빈슬롯,빈슬롯,
_21_빈슬롯,빈슬롯,
_22_빈슬롯,빈슬롯,
_23_빈슬롯,빈슬롯,
_24_빈슬롯,빈슬롯,
_25_빈슬롯,빈슬롯,
_26_빈슬롯,빈슬롯,
_27_빈슬롯,빈슬롯,
_28_빈슬롯,빈슬롯,
_29_빈슬롯,빈슬롯,
_30_빈슬롯,빈슬롯,
_31_빈슬롯,빈슬롯,
_32_빈슬롯,빈슬롯,
_33_빈슬롯,빈슬롯,
_34_빈슬롯,빈슬롯 변경 테스트,변경 테스트
